clasificador,C,gamma,weight_color,f1_score
SVM,1,scale,0.3,0.6535716440004715
SVM,1,scale,0.5,0.6608723425381663
SVM,1,scale,0.7,0.6280169402603413
SVM,1,0.01,0.3,0.5764152447251292
SVM,1,0.01,0.5,0.5958454192423233
SVM,1,0.01,0.7,0.601278690216273
SVM,10,scale,0.3,0.6991708754080064
SVM,10,scale,0.5,0.6885734537005652
SVM,10,scale,0.7,0.6684503606972653
SVM,10,0.01,0.3,0.5740034284333744
SVM,10,0.01,0.5,0.5862466746929745
SVM,10,0.01,0.7,0.6003096035314235
SVM,100,scale,0.3,0.6990780449318527
SVM,100,scale,0.5,0.6886555768857738
SVM,100,scale,0.7,0.6685837111063971
SVM,100,0.01,0.3,0.5740034284333744
SVM,100,0.01,0.5,0.5862466746929745
SVM,100,0.01,0.7,0.6003096035314235
RF,100,-,0.3,0.6554602317256875
RF,100,-,0.5,0.6599140588205307
RF,100,-,0.7,0.6578779291245003
RF,300,-,0.3,0.6650838684453293
RF,300,-,0.5,0.6672145411024974
RF,300,-,0.7,0.6553820512401766
