clasificador,C,gamma,weight_color,f1_score
SVM,1,scale,0.3,0.6535716440004715
SVM,1,scale,0.5,0.6608723425381663
SVM,1,scale,0.7,0.6280169402603413
SVM,1,0.01,0.3,0.5764152447251292
SVM,1,0.01,0.5,0.5958454192423233
SVM,1,0.01,0.7,0.601278690216273
SVM,10,scale,0.3,0.6991708754080064
SVM,10,scale,0.5,0.6885734537005652
SVM,10,scale,0.7,0.6684503606972653
SVM,10,0.01,0.3,0.5740034284333744
SVM,10,0.01,0.5,0.5862466746929745
SVM,10,0.01,0.7,0.6003096035314235
SVM,100,scale,0.3,0.6990780449318527
SVM,100,scale,0.5,0.6886555768857738
SVM,100,scale,0.7,0.6685837111063971
SVM,100,0.01,0.3,0.5740034284333744
SVM,100,0.01,0.5,0.5862466746929745
SVM,100,0.01,0.7,0.6003096035314235
RF,100,-,0.3,0.6554602317256875
RF,100,-,0.5,0.6599140588205307
RF,100,-,0.7,0.6578779291245003
RF,300,-,0.3,0.6650838684453293
RF,300,-,0.5,0.6672145411024974
RF,300,-,0.7,0.6553820512401766
MLP,"(256,)",0.001,0.2,0.6564626347991845
MLP,"(256,)",0.001,0.3,0.6577348377965941
MLP,"(256,)",0.001,0.4,0.6687303432882761
MLP,"(256,)",0.001,0.5,0.6762494056322877
MLP,"(256,)",0.001,0.6,0.6620854172504802
MLP,"(256,)",0.001,0.7,0.6380008789402148
MLP,"(256,)",0.001,0.8,0.6245949436251056
MLP,"(256,)",0.0001,0.2,0.6485850519003012
MLP,"(256,)",0.0001,0.3,0.661970127172267
MLP,"(256,)",0.0001,0.4,0.6764274752195689
MLP,"(256,)",0.0001,0.5,0.6705879576160882
MLP,"(256,)",0.0001,0.6,0.6517892758041038
MLP,"(256,)",0.0001,0.7,0.6327909019476481
MLP,"(256,)",0.0001,0.8,0.6147887772778229
MLP,"(512,)",0.001,0.2,0.6629136387411383
MLP,"(512,)",0.001,0.3,0.6765017745913262
MLP,"(512,)",0.001,0.4,0.6812873353934211
MLP,"(512,)",0.001,0.5,0.674652505757562
MLP,"(512,)",0.001,0.6,0.6539247798464013
MLP,"(512,)",0.001,0.7,0.633742911021453
MLP,"(512,)",0.001,0.8,0.6208677010203203
MLP,"(512,)",0.0001,0.2,0.6458152764126316
MLP,"(512,)",0.0001,0.3,0.6616932096223942
MLP,"(512,)",0.0001,0.4,0.6721163021473899
MLP,"(512,)",0.0001,0.5,0.6780797875221312
MLP,"(512,)",0.0001,0.6,0.6684848790885519
MLP,"(512,)",0.0001,0.7,0.6472664007008119
MLP,"(512,)",0.0001,0.8,0.6307443209925641
MLP,"(256, 128)",0.001,0.2,0.658124025674624
MLP,"(256, 128)",0.001,0.3,0.6670563596629586
MLP,"(256, 128)",0.001,0.4,0.6717605253790092
MLP,"(256, 128)",0.001,0.5,0.6811922530463475
MLP,"(256, 128)",0.001,0.6,0.6581447970940058
MLP,"(256, 128)",0.001,0.7,0.6364147553796753
MLP,"(256, 128)",0.001,0.8,0.6054391218083368
MLP,"(256, 128)",0.0001,0.2,0.6221250803524659
MLP,"(256, 128)",0.0001,0.3,0.6451276142767093
MLP,"(256, 128)",0.0001,0.4,0.6565490521486762
MLP,"(256, 128)",0.0001,0.5,0.6517559706382817
MLP,"(256, 128)",0.0001,0.6,0.628218197542879
MLP,"(256, 128)",0.0001,0.7,0.614457412683908
MLP,"(256, 128)",0.0001,0.8,0.6043196641254257
MLP,"(512, 256)",0.001,0.2,0.6553157625907209
MLP,"(512, 256)",0.001,0.3,0.6614928054334009
MLP,"(512, 256)",0.001,0.4,0.6636679818746154
MLP,"(512, 256)",0.001,0.5,0.6707776108571075
MLP,"(512, 256)",0.001,0.6,0.6588790844473082
MLP,"(512, 256)",0.001,0.7,0.6318785541196871
MLP,"(512, 256)",0.001,0.8,0.6104660002862377
MLP,"(512, 256)",0.0001,0.2,0.6709572728131198
MLP,"(512, 256)",0.0001,0.3,0.6754007000780048
MLP,"(512, 256)",0.0001,0.4,0.6806188921434331
MLP,"(512, 256)",0.0001,0.5,0.6756478322153364
MLP,"(512, 256)",0.0001,0.6,0.6437342206099614
MLP,"(512, 256)",0.0001,0.7,0.6321867255926829
MLP,"(512, 256)",0.0001,0.8,0.6144243220301073
MLP,"(512, 256, 128)",0.001,0.2,0.6695476849051649
MLP,"(512, 256, 128)",0.001,0.3,0.676424551358451
MLP,"(512, 256, 128)",0.001,0.4,0.6855133601642127
MLP,"(512, 256, 128)",0.001,0.5,0.6902796489719406
MLP,"(512, 256, 128)",0.001,0.6,0.6477546391679221
MLP,"(512, 256, 128)",0.001,0.7,0.6188041574306626
MLP,"(512, 256, 128)",0.001,0.8,0.607404878694418
MLP,"(512, 256, 128)",0.0001,0.2,0.6673703151812184
MLP,"(512, 256, 128)",0.0001,0.3,0.6751523264102539
MLP,"(512, 256, 128)",0.0001,0.4,0.6833151778804124
MLP,"(512, 256, 128)",0.0001,0.5,0.6598313401619051
MLP,"(512, 256, 128)",0.0001,0.6,0.639026621036149
MLP,"(512, 256, 128)",0.0001,0.7,0.6113680750002153
MLP,"(512, 256, 128)",0.0001,0.8,0.595259330990263
